"Rank","Root Domain","Linking Root Domains","Domain 
"263","dw.com","363,007","93"
"264","samsung.com","375,646","93"
"265","sputniknews.com","184,262","93"
"266","search.yahoo.com","468,628","93"
"267","yelp.com","921,822","93"
"268","rapidshare.com","290,773","93"
"269","gofundme.com","343,701","93"
"270","themeforest.net","529,223","93"
"271","ggpht.com","746,888","93"
"272","akamaized.net","271,377","93"
"273","lavanguardia.com","146,909","93"
"274","nationalgeographic.com","632,710","93"
"275","discord.com","319,957","93"
"276","bp2.blogger.com","552,360","93"
"277","google.co.in","272,996","93"
"278","picasa.google.com","257,089","93"
"279","zdf.de","136,451","93"
"280","instructables.com","342,989","93"
"281","nydailynews.com","387,701","93"
"282","nbcnews.com","677,677","93"
"283","ibm.com","504,032","93"
"284","lefigaro.fr","221,458","93"
"285","tmz.com","222,588","93"
"286","naver.com","497,038","93"
"287","apache.org","967,663","93"
"288","www.wix.com","719,276","93"
"289","cbsnews.com","536,060","93"
"290","mega.nz","178,562","93"
"291","detik.com","396,096","93"
"292","oup.com","393,903","93"
"293","gnu.org","584,332","93"
"294","t-online.de","253,165","93"
"295","francetvinfo.fr","161,375","93"
"296","ft.com","470,047","93"
"297","plos.org","286,832","93"
"298","fb.me","318,251","93"
"299","google.nl","249,216","93"
"300","alexa.com","326,066","93"
"301","alibaba.com","397,627","93"
"302","arxiv.org","231,719","93"
"303","as.com","143,028","93"
"304","huawei.com","1,878,919","93"
"305","doubleclick.net","610,807","93"
"306","ria.ru","185,920","93"
"307","washington.edu","361,873","93"
"308","goodreads.com","888,525","93"
"309","privacyshield.gov","436,156","93"
"310","rtve.es","184,969","93"
"311","ietf.org","383,092","93"
"312","adssettings.google.com","372,861","93"
"313","abc.es","202,094","93"
"314","tripadvisor.com","659,801","93"
"315","guardian.co.uk","616,336","93"
"316","oracle.com","592,143","93"
"317","deezer.com","158,781","93"
"318","espn.com","385,377","93"
"319","chicagotribune.com","371,128","93"
"320","amzn.to","896,923","93"
"321","hp.com","474,580","93"
"322","bing.com","997,228","93"
"323","instagram.com","25,628,596","93"
"324","secureserver.net","1,042,778","93"
"325","standard.co.uk","238,579","93"
"326","photos1.blogger.com","870,789","93"
"327","cnil.fr","207,901","93"
"328","gooyaabitemplates.com","448,239","93"
"329","sedo.com","2,324,789","93"
"330","rt.com","304,188","93"
"331","pexels.com","306,825","93"
"332","playstation.com","238,090","93"
"333","addtoany.com","740,743","93"
"334","psychologytoday.com","366,870","93"
"335","target.com","287,309","93"
"336","netlify.app","356,397","93"
"337","alicdn.com","459,674","93"
"338","cnbc.com","533,296","93"
"339","dailystar.co.uk","140,507","93"
"340","xbox.com","189,520","93"
"341","godaddy.com","2,544,122","93"
"342","newyorker.com","419,256","93"
"343","20minutos.es","169,217","93"
"344","gmail.com","213,443","93"
"345","feedproxy.google.com","773,939","93"
"346","pl.wikipedia.org","147,812","93"
"347","zoom.us","597,439","93"
"348","ebay.com","946,022","93"
"349","kickstarter.com","474,054","93"
"350","sendspace.com","155,554","93"
"351","zendesk.com","506,885","93"
"352","thetimes.co.uk","399,048","93"
"353","techcrunch.com","492,587","93"
"354","unesco.org","322,277","93"
"355","tiktok.com","387,035","93"
"356","code.google.com","329,803","93"
"357","ziddu.com","188,527","93"
"358","ca.gov","485,592","93"
"359","nginx.org","657,631","93"
"360","theatlantic.com","560,039","93"
"361","skype.com","444,508","93"
"362","steampowered.com","272,121","93"
"363","buzzfeed.com","596,514","93"
"364","bp1.blogger.com","552,093","93"
"365","welt.de","250,621","93"
"366","britannica.com","458,323","93"
"367","yahoo.co.jp","648,178","93"
"368","sfgate.com","380,361","93"
"369","addthis.com","680,309","93"
"370","twitch.tv","448,249","93"
"371","freepik.com","306,403","93"
"372","harvard.edu","733,006","93"
"373","npr.org","819,876","93"
"374","sapo.pt","231,632","93"
"375","disney.com","249,935","93"
"376","eventbrite.com","635,620","93"
"377","pinterest.fr","122,082","93"
"378","googleblog.com","262,031","93"
"379","theverge.com","388,744","93"
"380","webmd.com","689,353","93"
"381","vice.com","394,458","93"
"382","about.com","758,860","93"
"383","finance.yahoo.com","464,074","93"
"384","e-monsite.com","146,903","93"
"385","wikihow.com","559,579","93"
"386","stanford.edu","622,336","93"
"387","latimes.com","725,642","93"
"388","variety.com","283,630","93"
"389","leparisien.fr","135,675","93"
"390","www.wikipedia.org","531,984","93"
"391","icann.org","611,567","93"
"392","hm.com","188,122","93"
"393","gamespot.com","247,913","92"
"394","dreniq.com","268,481","92"
"395","weforum.org","216,357","92"
"396","xing.com","470,674","92"
"397","archives.gov","260,155","92"
"398","etsy.com","1,733,103","92"
"399","udemy.com","187,370","92"
"400","about.me","359,023","92"
"401","debian.org","403,336","92"
"402","state.gov","323,143","92"
"403","rambler.ru","467,506","92"
"404","steamcommunity.com","199,343","92"
"405","apnews.com","271,135","92"
"406","softonic.com","155,149","92"
"407","answers.com","254,283","92"
"408","rollingstone.com","331,544","92"
"409","kakao.com","131,848","92"
"410","inc.com","265,080","92"
"411","faz.net","179,165","92"
"412","public-api.wordpress.com","195,517","92"
"413","coursera.org","180,427","92"
"414","lenta.ru","120,924","92"
"415","adweek.com","201,191","92"
"416","allaboutcookies.org","392,859","92"
"417","redbull.com","153,543","92"
"418","upenn.edu","312,464","92"
"419","foursquare.com","280,283","92"
